Code,Year,"Population, total"
OWID_AFR,1999,810079831
OWID_AFR,2000,830582806
OWID_AFR,2001,851690326
OWID_AFR,2002,873411364
OWID_AFR,2003,895734468
OWID_AFR,2004,918778465
OWID_AFR,2005,942546629
OWID_AFR,2006,966932351
OWID_AFR,2007,992055819
OWID_AFR,2008,1018065511
OWID_AFR,2009,1044777728
OWID_AFR,2010,1072216734
OWID_AFR,2011,1100148896
OWID_AFR,2012,1128843700
OWID_AFR,2013,1158780556
OWID_AFR,2014,1189220572
OWID_AFR,2015,1220075726
OWID_AFR,2016,1251208653
OWID_AFR,2017,1282902297
OWID_AFR,2018,1315409974
OWID_AFR,2019,1348005692
OWID_AFR,2020,1380821349
OWID_AFR,2021,1413753274
OWID_AFR,2022,1446883821
OWID_AFR,2023,1480770747
OWID_AFR,2024,
OWID_AFR,2025,
OWID_AFR,2026,
OWID_AFR,2027,
OWID_AFR,2028,
OWID_AFR,2029,
OWID_AFR,2030,
OWID_AFR,2031,
OWID_AFR,2032,
OWID_AFR,2033,
OWID_AFR,2034,
OWID_AFR,2035,
OWID_AFR,2036,
OWID_AFR,2037,
OWID_AFR,2038,
OWID_AFR,2039,
OWID_AFR,2040,
OWID_AFR,2041,
OWID_AFR,2042,
OWID_AFR,2043,
OWID_AFR,2044,
OWID_AFR,2045,
OWID_AFR,2046,
OWID_AFR,2047,
OWID_AFR,2048,
OWID_AFR,2049,
OWID_AFR,2050,
OWID_AFR,2051,
OWID_AFR,2052,
OWID_AFR,2053,
OWID_AFR,2054,
OWID_AFR,2055,
OWID_AFR,2056,
OWID_AFR,2057,
OWID_AFR,2058,
OWID_AFR,2059,
OWID_AFR,2060,
OWID_AFR,2061,
OWID_AFR,2062,
OWID_AFR,2063,
OWID_AFR,2064,
OWID_AFR,2065,
OWID_AFR,2066,
OWID_AFR,2067,
OWID_AFR,2068,
OWID_AFR,2069,
OWID_AFR,2070,
OWID_AFR,2071,
OWID_AFR,2072,
OWID_AFR,2073,
OWID_AFR,2074,
OWID_AFR,2075,
OWID_AFR,2076,
OWID_AFR,2077,
OWID_AFR,2078,
OWID_AFR,2079,
OWID_AFR,2080,
OWID_AFR,2081,
OWID_AFR,2082,
OWID_AFR,2083,
OWID_AFR,2084,
OWID_AFR,2085,
OWID_AFR,2086,
OWID_AFR,2087,
OWID_AFR,2088,
OWID_AFR,2089,
OWID_AFR,2090,
OWID_AFR,2091,
OWID_AFR,2092,
OWID_AFR,2093,
OWID_AFR,2094,
OWID_AFR,2095,
OWID_AFR,2096,
OWID_AFR,2097,
OWID_AFR,2098,
OWID_AFR,2099,
OWID_AFR,2100,
UN_AFR,1950,227776420
UN_AFR,1951,232556973
UN_AFR,1952,237539543
UN_AFR,1953,242685066
UN_AFR,1954,248005819
UN_AFR,1955,253537849
UN_AFR,1956,259271438
UN_AFR,1957,265128663
UN_AFR,1958,271041740
UN_AFR,1959,277271605
UN_AFR,1960,283921952
UN_AFR,1961,290813749
UN_AFR,1962,297959634
UN_AFR,1963,305371042
UN_AFR,1964,313060397
UN_AFR,1965,321013252
UN_AFR,1966,329251993
UN_AFR,1967,337850713
UN_AFR,1968,346800642
UN_AFR,1969,356032259
UN_AFR,1970,365551873
UN_AFR,1971,375326099
UN_AFR,1972,385311885
UN_AFR,1973,395821649
UN_AFR,1974,406869977
UN_AFR,1975,418433158
UN_AFR,1976,430496629
UN_AFR,1977,442660134
UN_AFR,1978,455538926
UN_AFR,1979,469198177
UN_AFR,1980,483051385
UN_AFR,1981,497620643
UN_AFR,1982,512958548
UN_AFR,1983,528232408
UN_AFR,1984,543637779
UN_AFR,1985,559663769
UN_AFR,1986,575967004
UN_AFR,1987,592601035
UN_AFR,1988,609387393
UN_AFR,1989,626358878
UN_AFR,1990,643775035
UN_AFR,1991,661103507
UN_AFR,1992,678557816
UN_AFR,1993,696621487
UN_AFR,1994,714502385
UN_AFR,1995,732695149
UN_AFR,1996,751473489
UN_AFR,1997,770384408
UN_AFR,1998,789981452
UN_AFR,1999,810079555
UN_AFR,2000,830582526
UN_AFR,2001,851690089
UN_AFR,2002,873411062
UN_AFR,2003,895734228
UN_AFR,2004,918778214
UN_AFR,2005,942546385
UN_AFR,2006,966932140
UN_AFR,2007,992055603
UN_AFR,2008,1018065280
UN_AFR,2009,1044777531
UN_AFR,2010,1072216494
UN_AFR,2011,1100148604
UN_AFR,2012,1128843458
UN_AFR,2013,1158780293
UN_AFR,2014,1189220342
UN_AFR,2015,1220075491
UN_AFR,2016,1251208462
UN_AFR,2017,1282902113
UN_AFR,2018,1315409772
UN_AFR,2019,1348005494
UN_AFR,2020,1380821169
UN_AFR,2021,1413753046
UN_AFR,2022,1446883650
UN_AFR,2023,1480770518
UN_AFR,2024,
UN_AFR,2025,
UN_AFR,2026,
UN_AFR,2027,
UN_AFR,2028,
UN_AFR,2029,
UN_AFR,2030,
UN_AFR,2031,
UN_AFR,2032,
UN_AFR,2033,
UN_AFR,2034,
UN_AFR,2035,
UN_AFR,2036,
UN_AFR,2037,
UN_AFR,2038,
UN_AFR,2039,
UN_AFR,2040,
UN_AFR,2041,
UN_AFR,2042,
UN_AFR,2043,
UN_AFR,2044,
UN_AFR,2045,
UN_AFR,2046,
UN_AFR,2047,
UN_AFR,2048,
UN_AFR,2049,
UN_AFR,2050,
UN_AFR,2051,
UN_AFR,2052,
UN_AFR,2053,
UN_AFR,2054,
UN_AFR,2055,
UN_AFR,2056,
UN_AFR,2057,
UN_AFR,2058,
UN_AFR,2059,
UN_AFR,2060,
UN_AFR,2061,
UN_AFR,2062,
UN_AFR,2063,
UN_AFR,2064,
UN_AFR,2065,
UN_AFR,2066,
UN_AFR,2067,
UN_AFR,2068,
UN_AFR,2069,
UN_AFR,2070,
UN_AFR,2071,
UN_AFR,2072,
UN_AFR,2073,
UN_AFR,2074,
UN_AFR,2075,
UN_AFR,2076,
UN_AFR,2077,
UN_AFR,2078,
UN_AFR,2079,
UN_AFR,2080,
UN_AFR,2081,
UN_AFR,2082,
UN_AFR,2083,
UN_AFR,2084,
UN_AFR,2085,
UN_AFR,2086,
UN_AFR,2087,
UN_AFR,2088,
UN_AFR,2089,
UN_AFR,2090,
UN_AFR,2091,
UN_AFR,2092,
UN_AFR,2093,
UN_AFR,2094,
UN_AFR,2095,
UN_AFR,2096,
UN_AFR,2097,
UN_AFR,2098,
UN_AFR,2099,
UN_AFR,2100,
ALB,1950,1247854
ALB,1951,1276365
ALB,1952,1308368
ALB,1953,1343581
ALB,1954,1381088
ALB,1955,1418855
ALB,1956,1456823
ALB,1957,1497954
ALB,1958,1543982
ALB,1959,1595021
ALB,1960,1649393
ALB,1961,1698801
ALB,1962,1743739
ALB,1963,1791289
ALB,1964,1841445
ALB,1965,1894317
ALB,1966,1950049
ALB,1967,2008524
ALB,1968,2068848
ALB,1969,2126885
ALB,1970,2181226
ALB,1971,2234995
ALB,1972,2289265
ALB,1973,2344108
ALB,1974,2399397
ALB,1975,2454861
ALB,1976,2510579
ALB,1977,2566603
ALB,1978,2624620
ALB,1979,2681393
ALB,1980,2735424
ALB,1981,2790413
ALB,1982,2846910
ALB,1983,2905128
ALB,1984,2964961
ALB,1985,3026245
ALB,1986,3087658
ALB,1987,3148843
ALB,1988,3212924
ALB,1989,3260369
ALB,1990,3277965
ALB,1991,3282608
ALB,1992,3282506
ALB,1993,3277831
ALB,1994,3269417
ALB,1995,3258573
ALB,1996,3245680
ALB,1997,3229665
ALB,1998,3210134
ALB,1999,3188598
ALB,2000,3166147
ALB,2001,3147943
ALB,2002,3134095
ALB,2003,3118093
ALB,2004,3098662
ALB,2005,3076156
ALB,2006,3050805
ALB,2007,3022887
ALB,2008,2992933
ALB,2009,2961487
ALB,2010,2928731
ALB,2011,2911499
ALB,2012,2910003
ALB,2013,2907571
ALB,2014,2903748
ALB,2015,2898634
ALB,2016,2897868
ALB,2017,2898245
ALB,2018,2894229
ALB,2019,2885011
ALB,2020,2871950
ALB,2021,2849641
ALB,2022,2827614
ALB,2023,2811660
ALB,2024,
ALB,2025,
ALB,2026,
ALB,2027,
ALB,2028,
ALB,2029,
ALB,2030,
ALB,2031,
ALB,2032,
ALB,2033,
ALB,2034,
ALB,2035,
ALB,2036,
ALB,2037,
ALB,2038,
ALB,2039,
ALB,2040,
ALB,2041,
ALB,2042,
ALB,2043,
ALB,2044,
ALB,2045,
ALB,2046,
ALB,2047,
ALB,2048,
ALB,2049,
ALB,2050,
ALB,2051,
ALB,2052,
ALB,2053,
ALB,2054,
ALB,2055,
ALB,2056,
ALB,2057,
ALB,2058,
ALB,2059,
ALB,2060,
ALB,2061,
ALB,2062,
ALB,2063,
ALB,2064,
ALB,2065,
ALB,2066,
ALB,2067,
ALB,2068,
ALB,2069,
ALB,2070,
ALB,2071,
ALB,2072,
ALB,2073,
ALB,2074,
ALB,2075,
ALB,2076,
ALB,2077,
ALB,2078,
ALB,2079,
ALB,2080,
ALB,2081,
ALB,2082,
ALB,2083,
ALB,2084,
ALB,2085,
ALB,2086,
ALB,2087,
ALB,2088,
ALB,2089,
ALB,2090,
ALB,2091,
ALB,2092,
ALB,2093,
ALB,2094,
ALB,2095,
ALB,2096,
ALB,2097,
ALB,2098,
ALB,2099,
ALB,2100,
DZA,1950,9018423
DZA,1951,9269870
DZA,1952,9521212
DZA,1953,9772644
DZA,1954,10014393
DZA,1955,10247429
DZA,1956,10482183
DZA,1957,10717503
DZA,1958,10953641
DZA,1959,11189621
DZA,1960,11424930
DZA,1961,11628877
DZA,1962,11800768
DZA,1963,11982121
DZA,1964,12179807
DZA,1965,12365979
DZA,1966,12590068
DZA,1967,12876115
DZA,1968,13172615
DZA,1969,13475959
DZA,1970,13783722
DZA,1971,14098937
DZA,1972,14427075
DZA,1973,14771150
DZA,1974,15133508
DZA,1975,15678603
DZA,1976,16409171
DZA,1977,17015988
DZA,1978,17506977
DZA,1979,18036655
DZA,1980,18607175
DZA,1981,19220708
DZA,1982,19872353
DZA,1983,20558120
DZA,1984,21271969
DZA,1985,22008542
DZA,1986,22745501
DZA,1987,23443627
DZA,1988,24109538
DZA,1989,24754488
DZA,1990,25375815
DZA,1991,25987937
DZA,1992,26628570
DZA,1993,27277042
DZA,1994,27887277
DZA,1995,28470194
DZA,1996,29033045
DZA,1997,29579299
DZA,1998,30054135
DZA,1999,30474360
DZA,2000,30903894
DZA,2001,31331226
DZA,2002,31750832
DZA,2003,32175813
DZA,2004,32628286
DZA,2005,33109258
DZA,2006,33623505
DZA,2007,34189420
DZA,2008,34816963
DZA,2009,35490442
DZA,2010,36188237
DZA,2011,36903374
DZA,2012,37646165
DZA,2013,38414176
DZA,2014,39205035
DZA,2015,40019528
DZA,2016,40850719
DZA,2017,41689302
DZA,2018,42505033
DZA,2019,43294551
DZA,2020,44042094
DZA,2021,44761099
DZA,2022,45477391
DZA,2023,46164222
DZA,2024,
DZA,2025,
DZA,2026,
DZA,2027,
DZA,2028,
DZA,2029,
DZA,2030,
DZA,2031,
DZA,2032,
DZA,2033,
DZA,2034,
DZA,2035,
DZA,2036,
DZA,2037,
DZA,2038,
DZA,2039,
DZA,2040,
DZA,2041,
DZA,2042,
DZA,2043,
DZA,2044,
DZA,2045,
DZA,2046,
DZA,2047,
DZA,2048,
DZA,2049,
DZA,2050,
DZA,2051,
DZA,2052,
DZA,2053,
DZA,2054,
DZA,2055,
DZA,2056,
DZA,2057,
DZA,2058,
DZA,2059,
DZA,2060,
DZA,2061,
DZA,2062,
DZA,2063,
DZA,2064,
DZA,2065,
DZA,2066,
DZA,2067,
DZA,2068,
DZA,2069,
DZA,2070,
DZA,2071,
DZA,2072,
DZA,2073,
DZA,2074,
DZA,2075,
DZA,2076,
DZA,2077,
DZA,2078,
DZA,2079,
DZA,2080,
DZA,2081,
DZA,2082,
DZA,2083,
DZA,2084,
DZA,2085,
DZA,2086,
DZA,2087,
DZA,2088,
DZA,2089,
DZA,2090,
DZA,2091,
DZA,2092,
DZA,2093,
DZA,2094,
DZA,2095,
DZA,2096,
DZA,2097,
DZA,2098,
DZA,2099,
DZA,2100,
ASM,1950,19070
ASM,1951,19450
ASM,1952,19576
ASM,1953,19691
ASM,1954,19782
ASM,1955,19877
ASM,1956,19960
ASM,1957,19983
ASM,1958,19950
ASM,1959,19931
ASM,1960,20159
ASM,1961,20686
ASM,1962,21317
ASM,1963,21992
ASM,1964,22692
ASM,1965,23429
ASM,1966,24157
ASM,1967,24891
ASM,1968,25629
ASM,1969,26393
ASM,1970,27052
ASM,1971,27556
ASM,1972,28019
ASM,1973,28465
ASM,1974,28896
ASM,1975,29407
ASM,1976,29981
ASM,1977,30543
ASM,1978,31098
ASM,1979,31632
ASM,1980,32427
ASM,1981,33606
ASM,1982,34937
ASM,1983,36291
ASM,1984,37690
ASM,1985,39128
ASM,1986,40588
ASM,1987,42095
ASM,1988,43634
ASM,1989,45207
ASM,1990,46659
ASM,1991,47903
ASM,1992,49054
ASM,1993,50178
ASM,1994,51273
ASM,1995,52339
ASM,1996,53378
ASM,1997,54385
ASM,1998,55354
ASM,1999,56267
ASM,2000,56877
ASM,2001,57072
ASM,2002,57081
ASM,2003,56988
ASM,2004,56841
ASM,2005,56638
ASM,2006,56391
ASM,2007,56134
ASM,2008,55848
ASM,2009,55542
ASM,2010,55246
ASM,2011,54917
ASM,2012,54506
ASM,2013,54026
ASM,2014,53489
ASM,2015,52896
ASM,2016,52260
ASM,2017,51605
ASM,2018,50927
ASM,2019,50230
ASM,2020,49779
ASM,2021,49249
ASM,2022,48365
ASM,2023,47544
ASM,2024,
ASM,2025,
ASM,2026,
ASM,2027,
ASM,2028,
ASM,2029,
ASM,2030,
ASM,2031,
ASM,2032,
ASM,2033,
ASM,2034,
ASM,2035,
ASM,2036,
ASM,2037,
ASM,2038,
ASM,2039,
ASM,2040,
ASM,2041,
ASM,2042,
ASM,2043,
ASM,2044,
ASM,2045,
ASM,2046,
ASM,2047,
ASM,2048,
ASM,2049,
ASM,2050,
ASM,2051,
ASM,2052,
ASM,2053,
ASM,2054,
ASM,2055,
ASM,2056,
ASM,2057,
ASM,2058,
ASM,2059,
ASM,2060,
ASM,2061,
ASM,2062,
ASM,2063,
ASM,2064,
ASM,2065,
ASM,2066,
ASM,2067,
ASM,2068,
ASM,2069,
ASM,2070,
ASM,2071,
ASM,2072,
ASM,2073,
ASM,2074,
ASM,2075,
ASM,2076,
ASM,2077,
ASM,2078,
ASM,2079,
ASM,2080,
ASM,2081,
ASM,2082,
ASM,2083,
ASM,2084,
ASM,2085,
ASM,2086,
ASM,2087,
ASM,2088,
ASM,2089,
ASM,2090,
ASM,2091,
ASM,2092,
ASM,2093,
ASM,2094,
ASM,2095,
ASM,2096,
ASM,2097,
ASM,2098,
ASM,2099,
ASM,2100,
,1950,335791496
,1951,342809279
,1952,350086867
,1953,357599609
,1954,365377091
,1955,373407276
,1956,381692163
,1957,390249080
,1958,398992351
,1959,408077039
,1960,417520523
,1961,427225742
,1962,437118236
,1963,447027459
,1964,456963600
,1965,466843178
,1966,476580530
,1967,486190006
,1968,495698218
,1969,505217480
,1970,515080521
,1971,525203247
,1972,535104029
,1973,544799461
,1974,554515598
,1975,564296858
,1976,574121361
,1977,584093311
,1978,594231921
,1979,604509081
,1980,614995559
,1981,625567978
,1982,636207174
,1983,646988452
,1984,657807334
,1985,668598299
,1986,679322517
,1987,690036435
,1988,700864741
,1989,711800736
,1990,723167029
,1991,734827529
,1992,746446435
,1993,757897506
,1994,769066719
,1995,780097788
,1996,790984090
,1997,801748680
,1998,812545221
,1999,823277582
,2000,833823329
,2001,844243626
,2002,854486140
,2003,864557890
,2004,874538474
,2005,884494788
,2006,894470073
,2007,904530240
,2008,914594515
,2009,924521281
,2010,934293894
,2011,944029797
,2012,953741209
,2013,963367755
,2014,972890539
,2015,982256771
,2016,991580857
,2017,1000714164
,2018,1009489473
,2019,1017894603
,2020,1024463737
,2021,1029207261
,2022,1034848561
,2023,1041794257
,2024,
,2025,
,2026,
,2027,
,2028,
,2029,
,2030,
,2031,
,2032,
,2033,
,2034,
,2035,
,2036,
,2037,
,2038,
,2039,
,2040,
,2041,
,2042,
,2043,
,2044,
,2045,
,2046,
,2047,
,2048,
,2049,
,2050,
,2051,
,2052,
,2053,
,2054,
,2055,
,2056,
,2057,
,2058,
,2059,
,2060,
,2061,
,2062,
,2063,
,2064,
,2065,
,2066,
,2067,
,2068,
,2069,
,2070,
,2071,
,2072,
,2073,
,2074,
,2075,
,2076,
,2077,
,2078,
,2079,
,2080,
,2081,
,2082,
,2083,
,2084,
,2085,
,2086,
,2087,
,2088,
,2089,
,2090,
,2091,
,2092,
,2093,
,2094,
,2095,
,2096,
,2097,
,2098,
,2099,
,2100,
AND,1950,6018
AND,1951,5843
AND,1952,5474
AND,1953,5346
AND,1954,5623
AND,1955,6187
AND,1956,6788
AND,1957,7420
AND,1958,8090
AND,1959,8794
AND,1960,9532
AND,1961,10307
AND,1962,11107
AND,1963,11936
AND,1964,12787
AND,1965,13656
AND,1966,14649
AND,1967,15860
AND,1968,17201
AND,1969,18581
AND,1970,19999
AND,1971,21466
AND,1972,22978
AND,1973,24544
AND,1974,26153
AND,1975,27799
AND,1976,29457
AND,1977,31125
AND,1978,32758
AND,1979,34326
AND,1980,35802
AND,1981,37194
AND,1982,38785
AND,1983,40586
AND,1984,42291
AND,1985,43845
AND,1986,45758
AND,1987,47677
AND,1988,49441
AND,1989,50638
AND,1990,52616
AND,1991,56691
AND,1992,60217
AND,1993,63293
AND,1994,64631
AND,1995,63936
AND,1996,64006
AND,1997,64722
AND,1998,65400
AND,1999,65732
AND,2000,65703
AND,2001,65874
AND,2002,66528
AND,2003,69507
AND,2004,74342
AND,2005,77436
AND,2006,79609
AND,2007,81901
AND,2008,83513
AND,2009,83907
AND,2010,80727
AND,2011,77801
AND,2012,76858
AND,2013,75220
AND,2014,73755
AND,2015,72195
AND,2016,72197
AND,2017,73780
AND,2018,75181
AND,2019,76492
AND,2020,77397
AND,2021,78379
AND,2022,79722
AND,2023,80869
AND,2024,
AND,2025,
AND,2026,
AND,2027,
AND,2028,
AND,2029,
AND,2030,
AND,2031,
AND,2032,
AND,2033,
AND,2034,
AND,2035,
AND,2036,
AND,2037,
AND,2038,
AND,2039,
AND,2040,
AND,2041,
AND,2042,
AND,2043,
AND,2044,
AND,2045,
AND,2046,
AND,2047,
AND,2048,
AND,2049,
AND,2050,
AND,2051,
AND,2052,
AND,2053,
AND,2054,
AND,2055,
AND,2056,
AND,2057,
AND,2058,
AND,2059,
AND,2060,
AND,2061,
AND,2062,
AND,2063,
AND,2064,
AND,2065,
AND,2066,
AND,2067,
AND,2068,
AND,2069,
AND,2070,
AND,2071,
AND,2072,
AND,2073,
AND,2074,
AND,2075,
AND,2076,
AND,2077,
AND,2078,
AND,2079,
AND,2080,
AND,2081,
AND,2082,
AND,2083,
AND,2084,
AND,2085,
AND,2086,
AND,2087,
AND,2088,
AND,2089,
AND,2090,
AND,2091,
AND,2092,
AND,2093,
AND,2094,
AND,2095,
AND,2096,
AND,2097,
AND,2098,
AND,2099,
AND,2100,
AGO,1950,4551869
AGO,1951,4602567
AGO,1952,4651693
AGO,1953,4706357
AGO,1954,4766716
AGO,1955,4832775
AGO,1956,4904275
AGO,1957,4980650
AGO,1958,5061137
AGO,1959,5145107
AGO,1960,5231664
AGO,1961,5301584
AGO,1962,5354315
AGO,1963,5408334
AGO,1964,5464186
AGO,1965,5521982
AGO,1966,5581391
AGO,1967,5641810
AGO,1968,5702706
AGO,1969,5763693
AGO,1970,5852790
AGO,1971,5991114
AGO,1972,6174269
AGO,1973,6388534
AGO,1974,6613368
AGO,1975,6842952
AGO,1976,7074668
AGO,1977,7317837
AGO,1978,7576742
AGO,1979,7847207
AGO,1980,8133867
AGO,1981,8435605
AGO,1982,8751653
AGO,1983,9082985
AGO,1984,9425921
AGO,1985,9779125
AGO,1986,10139459
AGO,1987,10497863
AGO,1988,10861299
AGO,1989,11238562
AGO,1990,11626361
AGO,1991,12023532
AGO,1992,12423717
AGO,1993,12827136
AGO,1994,13249763
AGO,1995,13699780
AGO,1996,14170973
AGO,1997,14660419
AGO,1998,15159378
AGO,1999,15667235
AGO,2000,16194873
AGO,2001,16747204
AGO,2002,17327701
AGO,2003,17943718
AGO,2004,18600426
AGO,2005,19291160
AGO,2006,20015281
AGO,2007,20778570
AGO,2008,21578656
AGO,2009,22414775
AGO,2010,23294822
AGO,2011,24218358
AGO,2012,25177398
AGO,2013,26165616
AGO,2014,27160767
AGO,2015,28157802
AGO,2016,29183072
AGO,2017,30234836
AGO,2018,31297160
AGO,2019,32375633
AGO,2020,33451139
AGO,2021,34532427
AGO,2022,35635028
AGO,2023,36749909
AGO,2024,
AGO,2025,
AGO,2026,
AGO,2027,
AGO,2028,
AGO,2029,
AGO,2030,
AGO,2031,
AGO,2032,
AGO,2033,
AGO,2034,
AGO,2035,
AGO,2036,
AGO,2037,
AGO,2038,
AGO,2039,
AGO,2040,
AGO,2041,
AGO,2042,
AGO,2043,
AGO,2044,
AGO,2045,
AGO,2046,
AGO,2047,
AGO,2048,
AGO,2049,
AGO,2050,
AGO,2051,
AGO,2052,
AGO,2053,
AGO,2054,
AGO,2055,
AGO,2056,
AGO,2057,
AGO,2058,
AGO,2059,
AGO,2060,
AGO,2061,
AGO,2062,
AGO,2063,
AGO,2064,
AGO,2065,
AGO,2066,
AGO,2067,
AGO,2068,
AGO,2069,
AGO,2070,
AGO,2071,
AGO,2072,
AGO,2073,
AGO,2074,
AGO,2075,
AGO,2076,
AGO,2077,
AGO,2078,
AGO,2079,
AGO,2080,
AGO,2081,
AGO,2082,
AGO,2083,
AGO,2084,
AGO,2085,
AGO,2086,
AGO,2087,
AGO,2088,
AGO,2089,
AGO,2090,
AGO,2091,
AGO,2092,
AGO,2093,
AGO,2094,
AGO,2095,
AGO,2096,
AGO,2097,
AGO,2098,
AGO,2099,
AGO,2100,
AIA,1950,5022
AIA,1951,5229
AIA,1952,5389
AIA,1953,5522
AIA,1954,5668
AIA,1955,5763
AIA,1956,5802
AIA,1957,5823
AIA,1958,5819
AIA,1959,5800
AIA,1960,5801
AIA,1961,5846
AIA,1962,5899
AIA,1963,5943
AIA,1964,5994
AIA,1965,6040
AIA,1966,6095
AIA,1967,6150
AIA,1968,6207
AIA,1969,6257
AIA,1970,6324
AIA,1971,6376
AIA,1972,6427
AIA,1973,6466
AIA,1974,6502
AIA,1975,6519
AIA,1976,6545
AIA,1977,6567
AIA,1978,6587
AIA,1979,6602
AIA,1980,6612
AIA,1981,6628
AIA,1982,6653
AIA,1983,6672
AIA,1984,6764
AIA,1985,6978
AIA,1986,7245
AIA,1987,7519
AIA,1988,7807
AIA,1989,8116
AIA,1990,8422
AIA,1991,8728
AIA,1992,9005
AIA,1993,9252
AIA,1994,9489
AIA,1995,9738
AIA,1996,10000
AIA,1997,10278
AIA,1998,10557
AIA,1999,10864
AIA,2000,11196
AIA,2001,11497
AIA,2002,11714
AIA,2003,11903
AIA,2004,12092
AIA,2005,12290
AIA,2006,12493
AIA,2007,12697
AIA,2008,12911
AIA,2009,13138
AIA,2010,13372
AIA,2011,13593
AIA,2012,13401
AIA,2013,13272
AIA,2014,13748
AIA,2015,14235
AIA,2016,14344
AIA,2017,14450
AIA,2018,14747
AIA,2019,14845
AIA,2020,14864
AIA,2021,14503
AIA,2022,14202
AIA,2023,14435
AIA,2024,
AIA,2025,
